title,url
Bad Childhood---Good Life How to Blossom and Thrive in Spite of an Unhappy Childhood by Laura Schlessinger- google books,https://books.google.com/books/about/Bad_Childhood_Good_Life.html?id=rJyzngEACAAJ
Cat Cross Their Graves A Joe Grey Mystery by Shirley Rousseau Murphy- google books,https://books.google.com/books/about/Cat_Cross_Their_Graves.html?id=L7LudFEjAdoC
Cat Breaking Free A Joe Grey Mystery by Shirley Rousseau Murphy- google books,https://books.google.com/books/about/Cat_Breaking_Free.html?id=YxFKiwgA7IUC
Slider A Novel by Patrick Robinson- google books,https://www.amazon.com/Slider-Novel-Patrick-Robinson/dp/006058033X
"The Black Dahlia Files The Mob, the Mogul, and the Murder That Transfixed Los Angeles by Don Wolfe- google books",https://books.google.com/books/about/The_Black_Dahlia_Files.html?id=WAKIHAAACAAJ
Metro Girl  by Janet Evanovich- google books,https://books.google.com/books/about/Metro_Girl.html?id=bpiVoPcaMKcC
Motor Mouth  by Janet Evanovich- google books,https://books.google.com/books/about/Motor_Mouth.html?id=FogZToYfUAAC
Mystic River  by Dennis Lehane- google books,https://books.google.com/books/about/Mystic_River.html?id=HQu0fXQ1oXwC
Great Short Works of Herman Melville  by Herman Melville- google books,https://books.google.com/books/about/Great_Short_Works_of_Herman_Melville.html?id=9rgEzgEACAAJ
The Day I Swapped My Dad for Two Goldfish  by Neil Gaiman- google books,https://books.google.com/books/about/The_Day_I_Swapped_My_Dad_for_Two_Goldfis.html?id=76wOu5ohdAcC
Eleven Minutes A Novel by Paulo Coelho- google books,https://books.google.com/books/about/Eleven_Minutes.html?id=BWt5NAEACAAJ
Zen and the Art of Motorcycle Maintenance An Inquiry Into Values by Robert M. Pirsig- google books,https://books.google.com/books/about/Zen_and_the_Art_of_Motorcycle_Maintenanc.html?id=22OLMRAw_gUC
